,0
609,obóz przesiedleńczy
610,dorzecze
611,komunałka
612,skocznia normalna
613,spacernik
614,punkt spustowy
615,biegun zimna
616,szpital zakaźny
617,bima
618,siłownia
619,subkontynent
620,synagoga
621,opactwo
622,stutysięcznik
623,domicyl
624,aneks
625,megamiasto
626,serwis
627,łan
628,ośrodek władzy
629,dendrarium
630,punkt sędziowski
631,hotel robotniczy
632,konwertorownia
633,spółdzielnia
634,remiza
635,węzeł drogowy
636,mieszkanie lokatorskie
637,region węzłowy
638,letnisko
639,targ
640,lawaterz
641,komedialnia
642,pediatria
643,podstawówka
644,dom dziecka
645,punkt podsłoneczny
646,pomarańczarnia
647,biegun chłodu
648,zamczysko
649,ministerstwo
650,obóz pracy
651,kort
652,miasto stołeczne
653,internat
654,centrala telekomunikacyjna
655,pralnia
656,sklep monopolowy
657,kapuścisko
658,ogród francuski
659,martwy punkt
660,sanatorium zapobiegawcze
661,szeregówka
662,interna
663,działka siedliskowa
664,budka
665,chutor
666,pole
667,cielętnik
668,przychodnia lekarska
669,pralnia chemiczna
670,pole golfowe
671,szranki
672,ciucholand
673,konkatedra
674,obryw
675,hotel pracowniczy
676,urazówka
677,stanica wodna
678,obora
679,kwatera główna
680,oddział kardiologiczny
681,kurort
682,działobitnia
683,elektrownia cieplna
684,stacja postojowa
685,elektrownia pływowa
686,punkt pomiarowy
687,forpoczta
688,centrala
689,ciepłe gniazdko
690,punkt Langrange'a
691,okolica szlachecka
692,kępa
693,stanowisko ogniowe
694,iglu
695,pawilon
696,lumpeks
697,wieczorówka
698,punkt graniczny
699,perfumeria
700,ośrodek nadawczy
701,ośrodek
702,nadleśnictwo
703,zarząd
704,szklarnia
705,blokowisko
706,instytut
707,ekonomówka
708,posterunek pomocniczy
709,helioelektrownia
710,pagoda
711,elektrownia geotermiczna
712,podwórko
713,sad
714,cieplarnia
715,ślizgawka
716,half pipe
717,szopa
718,sklep mięsny
719,stacja
720,fotoplastikon
721,placówka rodzinna
722,forum
723,stalag
724,zoologik
725,nastawnia
726,basen
727,ściernisko
728,drewutnia
729,arboretum
730,hala peronowa
731,mydlarnia
732,żwirowisko
733,perypter
734,punkt limfatyczny
735,spelunka
736,delicja
737,przedzamcze
738,pole bramkowe
739,kaplica przycmentarna
740,półkolonia
741,węzeł
742,lawatarz
743,działka przyzagrodowa
744,biwak
745,portyk
746,obiekt handlowy
747,placówka resocjalizacyjna
748,krupiarnia
749,peripteros
750,sanatorium uzdrowiskowe
751,drwalka
752,nosacz
753,hipermarket
754,mieszkanie
755,konwent
756,delegatura
757,miejsce święte
758,aquapark
759,galeria handlowa
760,przybudówka
761,oczyszczalnia ścieków
762,wyspa kontynentalna
763,węglówka
764,rynek
765,kościół farny
766,placówka
767,martyrium
768,krater boczny
769,zawodówka
770,klinika aborcyjna
771,osada fabryczna
772,apartament
773,hipodrom
774,radiologia
775,dom poprawczy
776,kort ziemny
777,ekspozycja
778,mały kraal
779,dwór
780,damski
781,ciastkarnia
782,municypium
783,ścierń
784,serce
785,biuro matrymonialne
786,wyspa koralowa
787,trycznik
788,tuczarnia
789,kuluar
790,wędliniarnia
791,zabudowanie
792,bazylika mniejsza
793,klub go go
794,lnisko
795,zieleniec
796,plac zabaw
797,plac
798,gastronomik
799,zakład poprawczy
800,antykwariat
801,świetlica socjoterapeutyczna
802,ogrójec
803,wychodek
804,budowa
805,róża skoczkowa
806,epicentrum
807,sklep
808,stanza
809,rozarium
810,ginekologia
811,punkt triangulacyjny
812,grajdoł
813,dom poselski
